title,body,choice_multi,choice_random,alternatives1,correct1,alternatives2,correct2,alternatives3,correct3,alternatives4,correct4
在信息系统中，用（   ）的形式来表示信息。,在信息系统中，用（   ）的形式来表示信息。,0,1,十进制,0,二进制,1,十六进制,0,字符,0
运算器和（   ）构成计算机的中央处理器（CPU）。,运算器和（   ）构成计算机的中央处理器（CPU）。,0,1,内存,0,外存,0,控制器,1,输入输出设备,0
Windows10操作系统下，计算机设备界面无法调整的内容是（   ）。,Windows10操作系统下，计算机设备界面无法调整的内容是（   ）。,0,1,时间和日期,0,分辨率,0,硬盘容量大小,0,桌面壁纸,0
微信APP属于信息系统层级结构的（ ）,微信APP属于信息系统层级结构的（ ）,0,1,基础设施层,0,资源管理层,0,业务逻辑层,0,应用表现层,1
某同学想要连接有线网络，应该选择台式计算机上（）插入自己的网线。,某同学想要连接有线网络，应该选择台式计算机上（）插入自己的网线。,0,1,RJ-45接口,1,VGA接口,0,USB接口,0,HDMI接口,0
下列关于文件和文件夹的命名说法正确的是（   ）。,下列关于文件和文件夹的命名说法正确的是（   ）。,0,1,在同一文件夹中，文件与文件夹不能重名,0,在同一文件夹中，文件与文件不能重名,1,在同一文件夹中，文件夹与文件夹可以重名,0,在文件夹中不能包含与该文件夹同名的文件,0
下列选项中，不属于第三代计算机应用领域的是（      ）。,下列选项中，不属于第三代计算机应用领域的是（      ）。,0,1,科学计算,0,数据处理,0,人工智能,1,过程控制,0
下列选项属于输入设备的是（）。,下列选项属于输入设备的是（）。,0,1,扫描仪,1,打印机,0,投影仪,0,绘图仪,0
下列选项属于音频文件扩展名的是（）。,下列选项属于音频文件扩展名的是（）。,0,1,.wav,1,.wmv,0,avi,0,.mov,0
下列选项属于输出设备的是（   ）。,下列选项属于输出设备的是（   ）。,0,1,键盘,0,摄像头,0,麦克风,0,显示器,1
下列选项属于国产操作系统的是（ ）。,下列选项属于国产操作系统的是（ ）。,0,1,Windows10,0,鸿蒙,1,UNIX,0,iOS,0
下列行为中，不符合信息社会道德规范的是（ ）。,下列行为中，不符合信息社会道德规范的是（ ）。,0,1,在微信朋友圈中分享自己旅游的照片,0,在微信群中发现有人发表不良言论，及时进行劝阻,0,在网络中发现有人诋毁自己喜欢的明星，立刻与之对骂,1,在直播平台直播热门的网络游戏,0
文档、数据、图形图像、音视频等信息属于信息系统的（    ）要素。 ,文档、数据、图形图像、音视频等信息属于信息系统的（    ）要素。 ,0,1,硬件,0,软件,0,通信网络,0,信息资源,1
某同学想要购买笔记本电脑，不适合查看的网站是（    ）。,某同学想要购买笔记本电脑，不适合查看的网站是（    ）。,0,1,中关村在线,0,IT168,0,爱奇艺,1,太平洋电脑网,0
下列选项属于压缩工具软件的是（    ）。,下列选项属于压缩工具软件的是（    ）。,0,1,WinRAR,1,WPS,0,Photoshop,0,画图,0
